User_ID,Category,Location_ID,Visitor_Count,Rating,Post_Content,Sentiment_Label,Cultural_Diversity_Index,Geometry_Parameters
USR_0012,Гастрономия,LOC_048,465,4.8,Обязательно вернусь сюда снова ради этих десертов.,Positive,0.7,"[0.72, 0.69, 0.26]"
USR_0187,Ночная жизнь,LOC_031,1284,2.6,"Музыка на любителя, но коктейли неплохие.",Neutral,0.91,"[0.79, 0.67, 0.47]"
USR_0118,Ночная жизнь,LOC_046,56,4.7,"Замечательная атмосфера, танцевали до утра.",Positive,0.58,"[0.22, 0.2, 0.6]"
USR_0138,Музеи и искусство,LOC_025,119,4.7,Очень познавательно и интересно.,Positive,0.58,"[0.34, 0.63, 0.14]"
USR_0032,Музеи и искусство,LOC_025,33,3.8,"Экспозиция небольшая, ожидал большего.",Neutral,0.26,"[0.4, 0.28, 0.76]"
USR_0097,Музеи и искусство,LOC_043,206,1.5,"Скучно, неинтересно и дорого.",Negative,0.94,"[0.68, 0.31, 0.68]"
USR_0021,Гастрономия,LOC_042,256,4.1,Обязательно вернусь сюда снова ради этих десертов.,Positive,0.85,"[0.22, 0.67, 0.09]"
USR_0142,Гастрономия,LOC_010,168,5.0,Отличное обслуживание и прекрасное меню.,Positive,0.52,"[0.81, 0.62, 0.78]"
USR_0076,Ночная жизнь,LOC_032,892,3.0,"Слишком много людей, не протолкнуться.",Neutral,0.36,"[0.72, 0.49, 0.21]"
USR_0161,Ночная жизнь,LOC_003,230,4.9,Лучшая вечеринка года!,Positive,0.52,"[0.75, 0.66, 0.26]"
USR_0159,Архитектура,LOC_009,174,4.4,Очень красивое историческое место.,Positive,0.18,"[0.67, 0.75, 0.35]"
USR_0093,Архитектура,LOC_033,401,3.6,"Здания как здания, ничего особенного.",Neutral,0.3,"[0.87, 0.78, 0.28]"
USR_0148,Музеи и искусство,LOC_038,85,3.7,"Некоторые залы закрыты, но в целом пойдет.",Neutral,0.29,"[0.59, 0.11, 0.23]"
USR_0050,Гастрономия,LOC_022,820,3.5,"Нормально перекусить можно, но без изысков.",Neutral,0.55,"[0.63, 0.65, 0.78]"
USR_0181,Гастрономия,LOC_007,48,4.6,Отличное обслуживание и прекрасное меню.,Positive,0.1,"[0.78, 0.74, 0.63]"
USR_0018,Ночная жизнь,LOC_029,2177,4.4,Лучшая вечеринка года!,Positive,0.88,"[0.65, 0.63, 0.49]"
USR_0012,Шопинг,LOC_007,749,4.2,"Огромный выбор магазинов, нашел все что нужно.",Positive,0.27,"[0.62, 0.64, 0.87]"
USR_0170,Музеи и искусство,LOC_034,120,4.9,Очень познавательно и интересно.,Positive,0.21,"[0.41, 0.22, 0.61]"
USR_0059,Архитектура,LOC_030,12,4.2,Очень красивое историческое место.,Positive,0.71,"[0.33, 0.22, 0.46]"
USR_0198,Шопинг,LOC_001,854,4.1,Прекрасный торговый центр с удобной парковкой.,Positive,0.88,"[0.46, 0.4, 0.5]"
USR_0075,Гастрономия,LOC_047,623,2.6,"Еда средняя, цены завышены.",Neutral,0.82,"[0.29, 0.51, 0.23]"
USR_0021,Архитектура,LOC_010,662,3.7,"Требует реставрации, но в целом нормально.",Neutral,0.38,"[0.43, 0.6, 0.14]"
USR_0060,Музеи и искусство,LOC_027,747,1.1,"Скучно, неинтересно и дорого.",Negative,0.12,"[0.31, 0.33, 0.05]"
USR_0026,Гастрономия,LOC_042,48,4.8,Отличное обслуживание и прекрасное меню.,Positive,0.6,"[0.85, 0.53, 0.6]"
USR_0098,Музеи и искусство,LOC_010,231,4.4,Экспозиция просто восторг!,Positive,0.88,"[0.54, 0.5, 0.32]"
USR_0072,Ночная жизнь,LOC_005,71,4.8,Лучшая вечеринка года!,Positive,0.76,"[0.75, 0.32, 0.2]"
USR_0117,Шопинг,LOC_031,1004,3.6,"Мало брендов, но чисто.",Neutral,0.82,"[0.33, 0.15, 0.45]"
USR_0163,Шопинг,LOC_017,498,4.4,Прекрасный торговый центр с удобной парковкой.,Positive,0.83,"[0.49, 0.48, 0.08]"
USR_0094,Шопинг,LOC_022,210,4.7,Прекрасный торговый центр с удобной парковкой.,Positive,0.92,"[0.35, 0.25, 0.3]"
USR_0042,Парки и природа,LOC_040,42,4.4,Прекрасный ландшафтный дизайн.,Positive,0.42,"[0.45, 0.25, 0.68]"
USR_0095,Музеи и искусство,LOC_045,196,4.7,Очень познавательно и интересно.,Positive,0.9,"[0.57, 0.8, 0.74]"
USR_0091,Шопинг,LOC_026,206,4.5,Отличные скидки и приветливый персонал.,Positive,0.44,"[0.89, 0.11, 0.6]"
USR_0054,Ночная жизнь,LOC_042,663,4.8,"Замечательная атмосфера, танцевали до утра.",Positive,0.19,"[0.51, 0.73, 0.55]"
USR_0172,Шопинг,LOC_006,517,4.8,Отличные скидки и приветливый персонал.,Positive,0.36,"[0.63, 0.77, 0.61]"
USR_0069,Музеи и искусство,LOC_022,1101,4.9,Очень познавательно и интересно.,Positive,0.22,"[0.42, 0.74, 0.85]"
USR_0180,Шопинг,LOC_044,329,1.6,"Цены космос, выбор нулевой.",Negative,0.23,"[0.47, 0.48, 0.25]"
USR_0175,Музеи и искусство,LOC_035,73,4.4,Очень познавательно и интересно.,Positive,0.91,"[0.84, 0.68, 0.34]"
USR_0166,Гастрономия,LOC_025,634,5.0,"Невероятно вкусно, лучший ресторан в городе!",Positive,0.77,"[0.76, 0.41, 0.04]"
USR_0019,Ночная жизнь,LOC_021,725,3.6,"Музыка на любителя, но коктейли неплохие.",Neutral,0.92,"[0.83, 0.23, 0.46]"
USR_0156,Музеи и искусство,LOC_041,421,4.3,Современное искусство на высшем уровне.,Positive,0.65,"[0.86, 0.22, 0.86]"
USR_0163,Музеи и искусство,LOC_046,746,3.7,"Некоторые залы закрыты, но в целом пойдет.",Neutral,0.25,"[0.58, 0.11, 0.06]"
USR_0044,Парки и природа,LOC_049,350,4.1,Тихое и спокойное место для прогулок.,Positive,0.92,"[0.67, 0.64, 0.78]"
USR_0137,Гастрономия,LOC_032,379,3.7,"Нормально перекусить можно, но без изысков.",Neutral,0.69,"[0.5, 0.17, 0.48]"
USR_0187,Ночная жизнь,LOC_035,288,4.8,Лучшая вечеринка года!,Positive,0.89,"[0.69, 0.78, 0.7]"
USR_0063,Парки и природа,LOC_003,22,4.9,"Очень зелено, свежий воздух, идеально для отдыха.",Positive,0.77,"[0.65, 0.76, 0.67]"
USR_0042,Шопинг,LOC_040,67,4.4,"Огромный выбор магазинов, нашел все что нужно.",Positive,0.29,"[0.31, 0.42, 0.3]"
USR_0119,Музеи и искусство,LOC_005,25,1.3,"Зря потратили время, экспонатов почти нет.",Negative,0.6,"[0.26, 0.14, 0.71]"
USR_0098,Ночная жизнь,LOC_016,515,4.3,Лучшая вечеринка года!,Positive,0.25,"[0.59, 0.5, 0.2]"
USR_0070,Гастрономия,LOC_041,198,4.1,Отличное обслуживание и прекрасное меню.,Positive,0.36,"[0.38, 0.37, 0.57]"
USR_0164,Парки и природа,LOC_044,365,4.2,Прекрасный ландшафтный дизайн.,Positive,0.69,"[0.5, 0.11, 0.61]"
USR_0177,Музеи и искусство,LOC_019,1200,1.5,"Зря потратили время, экспонатов почти нет.",Negative,0.21,"[0.57, 0.55, 0.56]"
USR_0143,Архитектура,LOC_015,153,4.9,"Великолепная архитектура, обязательно к посещению.",Positive,0.72,"[0.73, 0.51, 0.63]"
USR_0057,Ночная жизнь,LOC_048,274,3.4,"Музыка на любителя, но коктейли неплохие.",Neutral,0.91,"[0.25, 0.75, 0.1]"
USR_0176,Парки и природа,LOC_006,714,2.7,"Обычный парк, маловато скамеек.",Neutral,0.91,"[0.75, 0.31, 0.08]"
USR_0084,Гастрономия,LOC_028,139,4.8,Отличное обслуживание и прекрасное меню.,Positive,0.43,"[0.74, 0.41, 0.36]"
USR_0197,Парки и природа,LOC_007,50,2.7,"Можно погулять, если живете рядом.",Neutral,0.95,"[0.66, 0.43, 0.48]"
USR_0199,Парки и природа,LOC_049,181,3.1,"Обычный парк, маловато скамеек.",Neutral,0.92,"[0.3, 0.37, 0.72]"
USR_0015,Парки и природа,LOC_041,97,4.1,Прекрасный ландшафтный дизайн.,Positive,0.13,"[0.58, 0.77, 0.13]"
USR_0059,Шопинг,LOC_046,1337,4.8,Отличные скидки и приветливый персонал.,Positive,0.61,"[0.67, 0.74, 0.72]"
USR_0009,Архитектура,LOC_007,835,4.7,"Великолепная архитектура, обязательно к посещению.",Positive,0.88,"[0.71, 0.36, 0.85]"
USR_0081,Гастрономия,LOC_029,511,4.1,"Невероятно вкусно, лучший ресторан в городе!",Positive,0.92,"[0.59, 0.49, 0.11]"
USR_0103,Гастрономия,LOC_011,1035,4.3,Отличное обслуживание и прекрасное меню.,Positive,0.29,"[0.2, 0.52, 0.48]"
USR_0069,Гастрономия,LOC_045,823,4.4,"Невероятно вкусно, лучший ресторан в городе!",Positive,0.58,"[0.86, 0.31, 0.67]"
USR_0017,Музеи и искусство,LOC_020,113,3.1,"Некоторые залы закрыты, но в целом пойдет.",Neutral,0.9,"[0.83, 0.34, 0.37]"
USR_0055,Ночная жизнь,LOC_002,1125,4.9,Отличная музыка и вкусные коктейли.,Positive,0.22,"[0.65, 0.46, 0.14]"
USR_0146,Гастрономия,LOC_003,397,4.0,"Невероятно вкусно, лучший ресторан в городе!",Positive,0.73,"[0.35, 0.68, 0.17]"
USR_0184,Ночная жизнь,LOC_021,833,4.2,Отличная музыка и вкусные коктейли.,Positive,0.3,"[0.33, 0.66, 0.77]"
USR_0081,Гастрономия,LOC_004,1142,4.4,Отличное обслуживание и прекрасное меню.,Positive,0.94,"[0.8, 0.75, 0.89]"
USR_0055,Архитектура,LOC_019,201,2.8,"Требует реставрации, но в целом нормально.",Neutral,0.24,"[0.52, 0.48, 0.26]"
USR_0168,Музеи и искусство,LOC_023,68,4.7,Экспозиция просто восторг!,Positive,0.85,"[0.25, 0.17, 0.65]"
USR_0128,Музеи и искусство,LOC_024,139,5.0,Очень познавательно и интересно.,Positive,0.18,"[0.54, 0.33, 0.12]"
USR_0102,Парки и природа,LOC_028,288,4.5,Тихое и спокойное место для прогулок.,Positive,0.7,"[0.66, 0.17, 0.56]"
USR_0165,Шопинг,LOC_010,861,5.0,"Огромный выбор магазинов, нашел все что нужно.",Positive,0.64,"[0.83, 0.32, 0.41]"
USR_0118,Музеи и искусство,LOC_016,995,4.4,Экспозиция просто восторг!,Positive,0.85,"[0.63, 0.31, 0.53]"
USR_0037,Музеи и искусство,LOC_034,13,4.6,Современное искусство на высшем уровне.,Positive,0.48,"[0.6, 0.36, 0.28]"
USR_0068,Архитектура,LOC_027,367,1.4,"Фасады обшарпаны, неприятно смотреть.",Negative,0.33,"[0.5, 0.1, 0.22]"
USR_0036,Гастрономия,LOC_037,280,4.8,Обязательно вернусь сюда снова ради этих десертов.,Positive,0.31,"[0.36, 0.62, 0.39]"
USR_0064,Музеи и искусство,LOC_044,135,4.7,Современное искусство на высшем уровне.,Positive,0.16,"[0.79, 0.19, 0.66]"
USR_0191,Музеи и искусство,LOC_012,73,3.6,"Экспозиция небольшая, ожидал большего.",Neutral,0.32,"[0.81, 0.42, 0.32]"
USR_0144,Шопинг,LOC_011,215,3.0,"Обычный ТЦ, цены как везде.",Neutral,0.19,"[0.41, 0.49, 0.16]"
USR_0138,Ночная жизнь,LOC_012,1441,4.5,"Замечательная атмосфера, танцевали до утра.",Positive,0.1,"[0.62, 0.69, 0.77]"
USR_0068,Архитектура,LOC_006,205,2.7,"Здания как здания, ничего особенного.",Neutral,0.43,"[0.3, 0.48, 0.24]"
USR_0192,Шопинг,LOC_040,375,3.2,"Обычный ТЦ, цены как везде.",Neutral,0.72,"[0.82, 0.15, 0.07]"
USR_0150,Музеи и искусство,LOC_025,617,3.4,"Некоторые залы закрыты, но в целом пойдет.",Neutral,0.92,"[0.21, 0.46, 0.03]"
USR_0110,Музеи и искусство,LOC_040,235,2.6,"Некоторые залы закрыты, но в целом пойдет.",Neutral,0.85,"[0.61, 0.38, 0.53]"
USR_0150,Архитектура,LOC_044,1793,3.1,"Требует реставрации, но в целом нормально.",Neutral,0.52,"[0.83, 0.49, 0.49]"
USR_0103,Парки и природа,LOC_016,1651,4.0,Прекрасный ландшафтный дизайн.,Positive,0.42,"[0.9, 0.43, 0.7]"
USR_0093,Парки и природа,LOC_032,155,4.0,"Очень зелено, свежий воздух, идеально для отдыха.",Positive,0.56,"[0.46, 0.26, 0.69]"
USR_0057,Музеи и искусство,LOC_038,353,1.7,"Скучно, неинтересно и дорого.",Negative,0.19,"[0.71, 0.3, 0.42]"
USR_0036,Музеи и искусство,LOC_010,188,1.8,"Зря потратили время, экспонатов почти нет.",Negative,0.51,"[0.56, 0.38, 0.45]"
USR_0131,Шопинг,LOC_015,177,4.8,Прекрасный торговый центр с удобной парковкой.,Positive,0.83,"[0.66, 0.69, 0.73]"
USR_0127,Ночная жизнь,LOC_030,28,4.4,Отличная музыка и вкусные коктейли.,Positive,0.65,"[0.63, 0.22, 0.46]"
USR_0024,Ночная жизнь,LOC_041,480,3.7,"Слишком много людей, не протолкнуться.",Neutral,0.68,"[0.51, 0.23, 0.85]"
USR_0194,Шопинг,LOC_017,359,4.1,Прекрасный торговый центр с удобной парковкой.,Positive,0.24,"[0.66, 0.78, 0.66]"
USR_0013,Шопинг,LOC_030,36,4.9,Отличные скидки и приветливый персонал.,Positive,0.16,"[0.54, 0.35, 0.2]"
USR_0029,Гастрономия,LOC_017,173,3.8,"Еда средняя, цены завышены.",Neutral,0.82,"[0.54, 0.14, 0.33]"
USR_0040,Музеи и искусство,LOC_043,1204,5.0,Экспозиция просто восторг!,Positive,0.35,"[0.23, 0.24, 0.82]"
USR_0161,Гастрономия,LOC_001,146,4.5,Отличное обслуживание и прекрасное меню.,Positive,0.37,"[0.45, 0.43, 0.41]"
USR_0041,Парки и природа,LOC_030,88,1.7,"Много мусора, неприятно гулять.",Negative,0.91,"[0.23, 0.79, 0.29]"
USR_0175,Музеи и искусство,LOC_019,346,3.5,"Экспозиция небольшая, ожидал большего.",Neutral,0.16,"[0.69, 0.46, 0.75]"
USR_0109,Музеи и искусство,LOC_044,2132,4.6,Современное искусство на высшем уровне.,Positive,0.24,"[0.78, 0.28, 0.49]"
USR_0153,Архитектура,LOC_035,148,3.3,"Здания как здания, ничего особенного.",Neutral,0.42,"[0.32, 0.56, 0.33]"
USR_0017,Музеи и искусство,LOC_011,567,4.1,Современное искусство на высшем уровне.,Positive,0.72,"[0.66, 0.68, 0.46]"
USR_0099,Парки и природа,LOC_005,726,2.9,"Обычный парк, маловато скамеек.",Neutral,0.56,"[0.46, 0.74, 0.46]"
USR_0098,Ночная жизнь,LOC_029,145,3.1,"Музыка на любителя, но коктейли неплохие.",Neutral,0.86,"[0.45, 0.71, 0.44]"
USR_0153,Ночная жизнь,LOC_023,661,3.0,"Музыка на любителя, но коктейли неплохие.",Neutral,0.18,"[0.54, 0.52, 0.45]"
USR_0120,Музеи и искусство,LOC_038,239,4.9,Современное искусство на высшем уровне.,Positive,0.6,"[0.3, 0.22, 0.07]"
USR_0136,Ночная жизнь,LOC_020,510,5.0,Отличная музыка и вкусные коктейли.,Positive,0.62,"[0.65, 0.25, 0.17]"
USR_0065,Гастрономия,LOC_041,511,5.0,"Невероятно вкусно, лучший ресторан в городе!",Positive,0.51,"[0.45, 0.6, 0.11]"
USR_0142,Музеи и искусство,LOC_028,393,1.1,"Зря потратили время, экспонатов почти нет.",Negative,0.13,"[0.36, 0.67, 0.65]"
USR_0003,Гастрономия,LOC_045,57,3.0,"Нормально перекусить можно, но без изысков.",Neutral,0.9,"[0.54, 0.44, 0.19]"
USR_0175,Шопинг,LOC_017,911,3.5,"Обычный ТЦ, цены как везде.",Neutral,0.24,"[0.31, 0.68, 0.02]"
USR_0185,Шопинг,LOC_030,203,1.2,"Цены космос, выбор нулевой.",Negative,0.86,"[0.23, 0.5, 0.15]"
USR_0030,Архитектура,LOC_020,113,3.6,"Требует реставрации, но в целом нормально.",Neutral,0.23,"[0.64, 0.13, 0.52]"
USR_0175,Музеи и искусство,LOC_013,30,4.1,Очень познавательно и интересно.,Positive,0.19,"[0.24, 0.28, 0.16]"
USR_0138,Шопинг,LOC_025,456,3.0,"Мало брендов, но чисто.",Neutral,0.27,"[0.87, 0.52, 0.51]"
USR_0193,Шопинг,LOC_031,575,4.6,"Огромный выбор магазинов, нашел все что нужно.",Positive,0.26,"[0.21, 0.6, 0.6]"
USR_0069,Ночная жизнь,LOC_007,18,3.5,"Музыка на любителя, но коктейли неплохие.",Neutral,0.69,"[0.4, 0.16, 0.4]"
USR_0197,Архитектура,LOC_016,368,1.5,"Фасады обшарпаны, неприятно смотреть.",Negative,0.71,"[0.89, 0.71, 0.15]"
USR_0165,Архитектура,LOC_025,138,3.3,"Требует реставрации, но в целом нормально.",Neutral,0.72,"[0.78, 0.52, 0.72]"
USR_0088,Ночная жизнь,LOC_037,528,4.4,"Замечательная атмосфера, танцевали до утра.",Positive,0.33,"[0.77, 0.23, 0.59]"
USR_0029,Музеи и искусство,LOC_023,105,2.8,"Экспозиция небольшая, ожидал большего.",Neutral,0.34,"[0.39, 0.61, 0.31]"
USR_0076,Гастрономия,LOC_037,597,4.7,Отличное обслуживание и прекрасное меню.,Positive,0.3,"[0.52, 0.51, 0.21]"
USR_0112,Музеи и искусство,LOC_019,254,4.4,Очень познавательно и интересно.,Positive,0.14,"[0.47, 0.18, 0.18]"
USR_0041,Гастрономия,LOC_045,1390,4.3,Отличное обслуживание и прекрасное меню.,Positive,0.59,"[0.8, 0.45, 0.38]"
USR_0117,Архитектура,LOC_019,83,4.4,"Великолепная архитектура, обязательно к посещению.",Positive,0.81,"[0.3, 0.17, 0.43]"
USR_0001,Парки и природа,LOC_002,218,1.4,"Много мусора, неприятно гулять.",Negative,0.23,"[0.63, 0.13, 0.71]"
USR_0185,Музеи и искусство,LOC_043,70,1.7,"Скучно, неинтересно и дорого.",Negative,0.41,"[0.55, 0.18, 0.43]"
USR_0185,Парки и природа,LOC_026,1303,4.9,Прекрасный ландшафтный дизайн.,Positive,0.46,"[0.29, 0.52, 0.74]"
USR_0068,Гастрономия,LOC_018,1059,4.9,Отличное обслуживание и прекрасное меню.,Positive,0.35,"[0.83, 0.64, 0.58]"
USR_0129,Музеи и искусство,LOC_001,159,4.1,Современное искусство на высшем уровне.,Positive,0.66,"[0.57, 0.36, 0.04]"
USR_0196,Парки и природа,LOC_037,549,3.7,"Можно погулять, если живете рядом.",Neutral,0.61,"[0.57, 0.26, 0.72]"
USR_0046,Парки и природа,LOC_044,859,4.3,Тихое и спокойное место для прогулок.,Positive,0.27,"[0.75, 0.37, 0.53]"
USR_0130,Музеи и искусство,LOC_050,415,4.5,Современное искусство на высшем уровне.,Positive,0.12,"[0.72, 0.63, 0.63]"
USR_0028,Парки и природа,LOC_048,387,2.2,"Парк не ухожен, трава высохла.",Negative,0.25,"[0.27, 0.19, 0.43]"
USR_0161,Музеи и искусство,LOC_004,148,3.8,"Некоторые залы закрыты, но в целом пойдет.",Neutral,0.35,"[0.36, 0.7, 0.25]"
USR_0077,Парки и природа,LOC_039,58,3.6,"Можно погулять, если живете рядом.",Neutral,0.17,"[0.81, 0.39, 0.17]"
USR_0164,Архитектура,LOC_048,1147,4.1,Потрясающие фасады зданий!,Positive,0.82,"[0.7, 0.65, 0.52]"
USR_0130,Музеи и искусство,LOC_032,1163,4.1,Очень познавательно и интересно.,Positive,0.36,"[0.28, 0.11, 0.59]"
USR_0156,Архитектура,LOC_019,511,2.5,"Требует реставрации, но в целом нормально.",Neutral,0.44,"[0.68, 0.32, 0.33]"
USR_0051,Ночная жизнь,LOC_050,217,4.4,Отличная музыка и вкусные коктейли.,Positive,0.52,"[0.31, 0.56, 0.23]"
USR_0040,Шопинг,LOC_015,224,3.3,"Мало брендов, но чисто.",Neutral,0.66,"[0.8, 0.4, 0.33]"
USR_0096,Архитектура,LOC_039,657,2.6,"Требует реставрации, но в целом нормально.",Neutral,0.18,"[0.39, 0.58, 0.68]"
USR_0196,Парки и природа,LOC_023,1147,5.0,Прекрасный ландшафтный дизайн.,Positive,0.56,"[0.49, 0.65, 0.43]"
